term,related_lang
connoisseur,French
connotation,Medieval Latin
connote,Medieval Latin
connubial,Latin
conopeum,Latin
conquistador,Spanish
consanguine,French
conscient,Latin
conscious,Latin
consecrate,Latin
consecration,Latin
consecute,Latin
consecutio temporum,Latin
consensus,Latin
consequent,Middle French
conservative,Middle French
conservatoire,French
conservatory,French
consessus,Latin
consigliere,Italian
consign,Middle French
consigne,French
consilium abeundi,Latin
consistent,Latin
consociation,Latin
consolatio,Latin
consolator,Latin
console,French
console,French
consolidate,Latin
consommé,French
consortial,Italian
consortium,Latin
conspection,Latin
constancy,Latin
constat,Latin
constatation,French
constate,French
constellate,Latin
consternation,French
constipation,Latin
constrict,Latin
constriction,Late Latin
constrictor,New Latin
constringe,Latin
construct,Latin
consuetudinal,Late Latin
consuetudinary,Medieval Latin
consulta,Italian
consulta,Spanish
consultor,Latin
consummate,Latin
contabescent,Latin
contadina,Italian
contagium,Latin
contemper,Latin
contemplate,Latin
contemporary,Medieval Latin
contendent,Latin
contessa,Italian
contexture,Middle French
contiguity,French
continent,Latin
continuity,Middle French
continuous,Latin
continuum,Latin
conto,Portuguese
contorniate,Italian
contorno,Italian
contort,Latin
contour,French
contra dance,French
contra-,Latin
contraband,Spanish
contrabass,Italian
contrabasso,Italian
contractor,Late Latin
contradanza,Spanish
contradict,Latin
contradictor,Latin
contradictory,Late Latin
contrafagotto,Italian
contraktnik,Russian
contraktniki,Russian
contrapposto,Italian
contrapunto,Spanish
contrast,French
contrayerva,Spanish
contrecoup,French
contrectation,Latin
contredanse,French
contretemps,French
contubernal,Latin
contumacious,Latin
conturb,Latin
convalescence,Middle French
convel,Latin
convene,Middle French
convenience,Latin
convention,Middle French
conventionnel,French
conventual,Medieval Latin
conversazione,Italian
converso,Spanish
convex,Middle French
convince,Latin
convive,French
convivial,French
convocate,Latin
convoke,Middle French
convolute,Latin
convolution,Latin
convolve,Latin
convulse,Latin
cooee,Dharug
cooja,Hindi
coojong,Nyunga
cookie,Dutch
coolibah,Gamilaraay
cooperation,French
cooter,Gullah
copaiba,Portuguese
copal,Spanish
copist,French
coppa,Italian
copra,Portuguese
coprolalia,French
coprophage,Latin
copula,Latin
coquecigrue,French
coquelicot,French
coqueluche,French
coquet,French
coquette,French
coqui,Puerto Rican Spanish
coqui frog,Puerto Rican Spanish
coquilla,Spanish
coquilla nut,Spanish
coquilla nut,Portuguese
coquille,French
coquina,Spanish
coquito,Spanish
cor,Biblical Hebrew
cor anglais,French
corah,Hindi
corazonin,Spanish
corban,Ancient Greek
corbeau,French
corbeille,French
corbie,Middle French
corbita,Latin
corcass,Irish
cordage,French
cordillera,Spanish
cordon bleu,French
cordon sanitaire,French
cordonnet,French
cordwain,Spanish
corgi,Welsh
corgi,Welsh
corgwn,Welsh
corium,Latin
corneae,Latin
cornel,Middle French
cornemuse,French
cornetto,Italian
corneule,French
cornichon,French
corno,Italian
cornu,Latin
cornuto,Italian
corolla,Latin
corona,Spanish
corona,Latin
corona,Latin
corona,Italian
coronach,Irish
coronach,Scottish Gaelic
coronate,Latin
coronet,Ancient Greek
coronet,Middle French
coronilla,New Latin
corozo,Spanish
corporeity,French
corporeity,Medieval Latin
corps de garde,French
corps-a-corps,French
corpus,Latin
corpus cavernosum,Latin
corpus delicti,New Latin
corrade,Latin
corral,Spanish
corralito,Spanish
correct,French
correctio,Latin
corrective,French
correfoc,Catalan
corregidor,Spanish
corregimiento,Spanish
corrida,Spanish
corrido,Spanish
corridor,French
corrigendum,Latin
corroboree,Dharug
corrugator cutis ani,New Latin
corrugator supercilii,New Latin
corruption,French
corsac,Russian
corsac fox,Russian
corsage,French
corsair,French
cortado,Spanish
cortege,French
cortex,Latin
corticine,French
cortina,Latin
cortissimo,Italian
corundum,Tamil
corvee,French
corvette,French
corvus,Latin
corymbus,Latin
coryphaeus,Latin
coryphée,French
coryza,Latin
cosmonaut,Russian
cosmopolite,French
cosmos,Ancient Greek
cosplay,Japanese
coss,Hindi
cossic,Italian
cossid,Arabic
cossist,Italian
costal,French
costate,Latin
costean,Cornish
costumier,French
cot,Hindi
cot,Irish
cotarnine,French
cote,Middle French
coteau,French
coterie,French
coticule,New Latin
cotillion,French
cotoneaster,Translingual
cottabus,Latin
cotton,Welsh
cotyle,Latin
coua,French
couatl,Classical Nahuatl
couchette,French
couché,French
coudiere,French
coudé,French
cougar,French
coulee,French
couleur,French
coulibiac,Russian
coulis,French
coulisse,French
couloir,French
coulomb,French
coulure,French
coulé,French
countermure,French
coup,French
coup d'arret,French
coup d'état,French
coup d'œil,French
coup de force,French
coup de foudre,French
coup de grâce,French
coup de main,French
coup de maitre,French
coup de théâtre,French
coupe,French
coupe-gorge,French
coupon,French
coupé,French
courante,French
courbette,French
coureur de bois,French
courgette,French
course landaise,French
courtesan,French
couscous,French
couteau de chasse,French
couter,French
coutil,French
couturier,French
couturière,French
couvert,French
couverture,French
couveuse,French
covert baron,Anglo-Norman
covid,Portuguese
cowrie,Hindi
coxa,Latin
coxal,Late Latin
coxalgy,Latin
coxinha,Portuguese
coyote,Spanish
coyotillo,Spanish
coypu,Spanish
cozonac,Romanian
crachach,Welsh
cracovienne,French
craic,Irish
craic killer,Irish
craig flounder,Scots
crame,Scots
cramoisie,French
crampon,French
crancelin,French
craniopagus,German
cranium,Medieval Latin
crannog,Irish
crapaud,French
crapaudine,French
crappo,Guyanese Creole English
crappo,Trinidadian Creole English
craps,Louisiana Creole French
craps,English
craquelure,French
crastin,Old French
crater,Latin
crathur,Irish
crayon,French
craythur,Irish
creach,Scottish Gaelic
creamery,French
creathnach,Irish
creatrix,Latin
credendum,Latin
credential,Medieval Latin
credenza,Italian
credibility,French
credit,Middle French
credo,Latin
credulous,Latin
crema,Spanish
crema,Italian
cremate,Latin
cremation,Latin
crempog,Welsh
crena,Latin
crenate,New Latin
creosote,German
crep,Jamaican Creole
crepature,Latin
crepe,French
creperie,French
crepier,French
crepitaculum,Latin
crepitus,Latin
crepon,French
crepusculum,Latin
crescendo,Italian
crespelle,Italian
cretic,Latin
cretin,French
creton,French
cretonne,French
crevette,French
cri de coeur,French
cri du chat,French
cria,Spanish
criadera,Spanish
cribble,French
cribellate,New Latin
cribellum,Late Latin
cricoarytenoid,New Latin
cricoarytenoideus,Latin
cricoid,Ancient Greek
cricoid,New Latin
cricothyroideus,New Latin
crime passionnel,French
criminate,Latin
crimination,Latin
crin,French
criniere,Middle French
crinoline,French
crioulo,Portuguese
crisis,Latin
crista,Latin
cristate,Latin
criterion,New Latin
criterium,French
crith,Ancient Greek
critic,Middle French
critique,French
crivvens,Scots
croagh,Irish
croche,Middle French
crochet,French
crocus,Latin
croisade,French
croissant,French
croissanterie,French
croisé,French
cromorna,French
croque-madame,French
croquembouche,French
croqueta,Spanish
croquette,French
croquis,French
crosne,French
crossette,French
crostata,Italian
crostini,Italian
croton,New Latin
crottin,French
croup,Scots
croupier,French
croupiere,French
croustade,French
crout,German
croûton,French
cru,French
crubeen,Irish
crucial,French
crude,Latin
crudite,French
crudites,French
crudity,Middle French
crudité,French
crudités,French
crudo,Italian
cruise,Dutch
cruor,Latin
crurophilia,Latin
crus,Latin
crusta,Latin
crustose,Latin
crux,Latin
cruzado,Portuguese
cruzeiro,Portuguese
cryptic,Late Latin
cryptoporticus,Latin
crèche,French
crème,French
crème anglaise,French
crème caramel,French
crème de cassis,French
crème de la crème,French
crème de menthe,French
crème fraîche,French
crémaillère,French
crépinette,French
crêpe,French
crêpe Suzette,French
crêpe de Chine,French
csardas,Hungarian
ctenidium,Byzantine Greek
ctenotus,Translingual
cuadrilla,Spanish
cuarteto,Spanish
cuartilla,Spanish
cuatrillo,Spanish
cuatro,Spanish
cubage,French
cubile,Latin
cubism,French
cubitiere,French
cubitus,Latin
cucaracha,Spanish
cuchifrito,Spanish
cuchufli,Spanish
cudgerie,Bandjalang
cue,French
cueillette,French
cuerda,Spanish
cuesta,Spanish
cui bono,Latin
cuica,Portuguese
cuir bouilli,French
cuirasse,French
cuirassement,French
cuirassier,French
cuisine,French
cuisinier,French
cuisse,French
cuiui,Northern Paiute
cuju,Mandarin
cukong,Indonesian
cul-de-four,French
cul-de-sac,French
culantro,Spanish
culatello,Italian
culet,Middle French
culex,Latin
culinary,French
culm,Latin
culminant,French
culmination,French
culotte,French
culottes,French
culpeo,Spanish
culteranismo,Spanish
cultivation,French
cultus,Latin
cumbia,Spanish
cummer,French
cumulonimbus,Latin
cumulus,Latin
cun,Chinese
cuneate,Latin
cuneiform,New Latin
cuneiform,French
cuneus,Latin
cuniculus,Latin
cunnilinctus,New Latin
cunnilingus,Latin
cup noodles,Japanese
cupel,French
cupola,Italian
cupuassu,Portuguese
curandera,Spanish
curanderismo,Spanish
curandero,Spanish
curate,Medieval Latin
curative,Middle French
curato,Italian
curatrix,Latin
curaçao,Dutch
curettage,French
curette,French
curia,Latin
curiate,Latin
curie,French
curmur,Scots
currach,Irish
currant,French
currency,Medieval Latin
currente calamo,New Latin
curriculum,Latin
curry,Tamil
currywurst,German
cursitor,Latin
cursitor,Latin
cursive,Middle French
cursor,Latin
cursory,Middle French
curt,Latin
cururo,Spanish
curva,Italian
curvet,Italian
cuscus,New Latin
cushag,Manx
cusp,Latin
cuspidor,Portuguese
cuspis,Latin
custode,Italian
custode,French
custodian,Medieval Latin
custos,Latin
cutaneous,New Latin
cutcherry,Kannada
cuvette,French
cuvier,French
cuvée,French
cwierc,Polish
cwm,Welsh
cwtch,Welsh
cy pres,Anglo-Norman
cybernetic,Ancient Greek
cycad,Translingual
cyclops,Latin
cyclus,Latin
cyka,Russian
cyka blyat,Russian
cyma,New Latin
cymbium,Latin
cyme,French
cymule,Latin
cynanche,Latin
cynghanedd,Welsh
cynism,French
cynocephalus,Latin
cynorexia,Ancient Greek
cynosure,French
cyser,Middle English
cysto-,Ancient Greek
cyte,Ancient Greek
cyto-,Ancient Greek
cytoblast,German
cytoplasm,German
cytosine,German
cédille,French
cégep,French
cépage,French
córdoba,Spanish
cœmeterium,Latin
d'Amour,French
da,Russian
da capo,Italian
da capo al fine,Italian
daalder,Dutch
dabb lizard,Arabic
dabbaba,Arabic
dabbawalla,Hindi
dabbawalla,Marathi
dabeli,Gujarati
dacha,Russian
dachshund,German
dachshunde,German
dacite,German
dacoit,Hindi
dacoit,Urdu
dacoit,Urdu
dactyly,Ancient Greek
dadagiri,Hindi
dadah,Malay
dadaism,French
dado,Italian
daebak,Korean
daemon,Latin
dagesh,Hebrew
dagga,Afrikaans
dagget,Russian
dagoba,Sinhalese
dah,Burmese
dahabieh,Arabic
dahi,Urdu
dahi,Hindi
dai,Hindi
dai pai dong,Cantonese
daifuku,Japanese
daigappei,Japanese
daikon,Japanese
daikyu,Japanese
daimon,Ancient Greek
daimonian,Ancient Greek
daimyo,Japanese
daisho,Japanese
daisugi,Japanese
dajjal,Arabic
dakhma,Persian
dakimakura,Japanese
dakshinachara,Sanskrit
daktyla,Greek
dakuten,Japanese
dal,Hindi
dal tarka,Hindi
dala,Hawaiian
daladala,Swahili
dalaga,Tagalog
daleel,Arabic
dalgona,Korean
dalgona coffee,Korean
dalles,French
dalmatica,Latin
damaru,Tibetan
damassé,French
dame de compagnie,French
damma,Arabic
dammish,Scots
damnatio memoriae,New Latin
damnum,Latin
dan,Chinese
dan,Japanese
dan bau,Vietnamese
dan day,Vietnamese
dan nguyet,Vietnamese
dan nhi,Vietnamese
dan tranh,Vietnamese
dan ty ba,Vietnamese
danda,Sanskrit
dandasana,Sanskrit
dandere,Japanese
dandiya raas,Gujarati
dandy,Scots
dangerosity,French
dango,Japanese
dango,Japanese
danio,Bengali
daniq,Arabic
danjiri,Japanese
dankie,Afrikaans
danmaku,Japanese
danpatsushiki,Japanese
dansband,Swedish
danse macabre,French
danseuse,French
danso,Korean
danta,Sehwi
danta,Anyi
danza,Spanish
danzón,Spanish
dao,Cebuano
daphne,Translingual
dapifer,Late Latin
darbuka,Arabic
dardarin,Basque
dargah,Urdu
daric,Ancient Greek
dars,Arabic
darsana,Sanskrit
darshan,Sanskrit
dartre,French
daruma,Japanese
dasein,German
dashi,Japanese
dashiki,Yoruba
dassie,Afrikaans
dassiepis,Afrikaans
dastan,Persian
dastar,Punjabi
dastgah,Persian
dastur,Persian
dasturi,Urdu
dasturi,Persian
data,Latin
datenkraken,German
dati,Hebrew
datil,Spanish
datil yucca,Spanish
datum,Latin
daube,French
dauer,German
dauncy,Scots
dauphine,French
daurade,French
davakhana,Hindi
daven,Yiddish
davul,Ottoman Turkish
dawa,Swahili
dawdle,Middle Low German
dayan,Hebrew
dayenu,Hebrew
dayereh,Persian
daymeal,Old Norse
de Brienne,French
de Broglie,French
de Grasse,French
de Groot,Dutch
de Jong,Dutch
de Klerk,Afrikaans
de Klerk,Dutch
de Lesseps,French
de Young,Dutch
de haut en bas,French
de la Pole,Norman
de luxe,French
de minimis non curat lex,Latin
de nada,Spanish
de profundis,Latin
de rigueur,French
de son tort,French
de trop,French
dealbate,Latin
deashi,Japanese
debacle,French
debauch,Middle French
debellatio,Latin
debellation,Medieval Latin
deben,Egyptian
debit,Middle French
debitor,Latin
debreciner,German
debrecziner,German
debreziner,German
debride,French
debridement,French
debris,French
debuscope,French
debut,French
debutante,French
decalcomania,French
decalcomanie,French
decameter,French
decametre,French
decanate,Medieval Latin
decani,Latin
decant,French
decantation,French
decapitate,French
decapod,French
decate,French
decatize,French
decemplex,Latin
decennium,Latin
deci-,Latin
deciduous,Latin
decim,Latin
decima,Spanish
decimal,Medieval Latin
decimate,Latin
decimation,Latin
decime,French
decisor,Latin
decistere,French
deckle,German
declination,Middle French
decolorant,French
decompose,Middle French
decoratrix,Latin
decorticate,Latin
decorum,Latin
decotora,Japanese
decoupage,French
decrement,Latin
decrepitate,Medieval Latin
decrescendo,Italian
decretory,Late Latin
decry,Middle French
decubitus,New Latin
decuple,French
decussate,Latin
dedans,French
dedicate,Latin
dedimus,Latin
dedovshchina,Russian
deduce,Latin
deduct,Latin
dedushka,Russian
deel,Mongolian
deess,French
defaitism,Finnish
defaitism,Dutch
defaitism,French
defaitism,Swedish
defamatory,Middle French
defeatism,French
defeatist,French
defecation,Late Latin
defection,Latin
defector,Latin
defense,French
defiant,French
defile,French
defile,French
defile,French
definite,Latin
deforestation,French
deformable,French
defrock,French
defrutum,Latin
defter,Turkish
degeiko,Japanese
degenerescence,French
deglutition,French
degression,Latin
degringolade,French
degu,Spanish
degustate,Latin
degustation,French
dehnstufe,German
dehors,French
deictic,Ancient Greek
deiform,Medieval Latin
deinococcus,Translingual
deinonychus,Translingual
deiseal,Irish
deism,French
deist,French
dekopon,Japanese
del Duca,Italian
delDuca,Italian
delaine,French
delator,Latin
deleatur,Latin
delectus,Latin
delegation,Latin
delete,Latin
deleterious,Medieval Latin
delicatessen,German
delict,Latin
deliminate,French
delimit,French
delimitate,French
delinquency,Late Latin
delinquent,Middle French
delirium,Latin
delirium tremens,Latin
deltidium,New Latin
delubrum,Latin
delvauxite,French
demagogic,French
demandeur,French
demark,French
dement,Middle French
dementia,Latin
dementiae,Latin
demi-rilievo,Italian
demi-sec,French
demibastion,French
demibrigade,French
demicadence,French
demiglace,French
demigorge,French
demilune,French
demimondaine,French
demimonde,French
demipointe,French
demirelief,French
demitasse,French
demitint,French
democracy,Middle French
demogogue,Ancient Greek
demoiselle,French
demonize,Medieval Latin
demonstrate,Latin
demotic,Ancient Greek
denarius,Latin
denaskulo,Esperanto
denature,French
denga,Russian
dengue,Spanish
denominate,Latin
denominative,Late Latin
denominator,Late Latin
denotatum,Latin
dens,Latin
dens invaginatus,Latin
density,Middle French
density,Latin
dental,Middle French
dental,Late Latin
dentelle,French
dentiscalp,Latin
dentist,French
denude,Middle French
deodar,Hindi
deodar,Urdu
department,French
departmental,French
dependant,French
depict,Latin
depilate,Latin
deplace,French
deplete,Latin
depletion,Latin
depliage,French
deplorable,French
deploy,French
deplume,French
deport,French
deportment,French
deposit,Latin
depositary,Late Latin
depository,Medieval Latin
depot,French
deprecate,Latin
deprecated,Latin
depreciate,Latin
depreciation,French
depressor septi nasi,New Latin
depucelage,French
depurate,Late Latin
deracine,French
derailleur,French
derailment,French
deranged,French
derangement,French
derbend,Ottoman Turkish
derecho,Spanish
deredere,Japanese
derm,Afrikaans
derma,Yiddish
dermabrase,French
dermis,New Latin
dernier,French
dernier cri,French
derogate,Latin
derogatory,Late Latin
derrière,French
desant,Russian
desaparecido,Spanish
descabello,Spanish
descanso,Spanish
descarga,Spanish
descensory,New Latin
desert,French
deserter,Latin
desertion,Middle French
deshabille,French
deshi,Japanese
deshmukh,Marathi
desiatina,Russian
desiccation,Middle French
desiderative,Latin
designate,Latin
designation,Middle French
desinence,French
desist,Middle French
desman,German
desman,French
desnuda,Spanish
desperate,Latin
desperation,Latin
despicable,Late Latin
despot,Middle French
despotism,French
dessert,Middle French
dessin d'enfant,French
destin,French
destreza,Spanish
desu,Japanese
detachment,French
detent,French
detention,Middle French
deter,Latin
detergent,French
deterioration,French
determinant,French
detestable,Middle French
detonable,French
detonate,Latin
detonation,French
detour,French
detournement,French
detract,Middle French
detrempe,French
detrimental,Medieval Latin
detritus,Latin
detruncation,Latin
deturbate,Late Latin
dev,Armenian
devadasi,Sanskrit
devale,Sinhalese
devastavit,Medieval Latin
devata,Hindi
develop,French
developpe,French
deviance,French
deviant,French
deviate,Late Latin
deviation,Middle French
device,Old French
devious,Latin
devolution,Middle French
devolve,Latin
devotchka,Russian
devote,Latin
devoto,Italian
devshirme,Ottoman Turkish
dewan,Urdu
dewan,Hindi
dexter,Latin
dexterity,Middle French
dextrochere,French
dey,French
dezinformatsiya,Russian
dghaisa,Maltese
dhaba,Hindi
dhabihah,Arabic
dhak,Bengali
dhaki,Bengali
dhammathat,Burmese
dhampir,Albanian
dhania,Hindi
dharana,Sanskrit
dharmapala,Sanskrit
dharmsala,Hindi
dharna,Hindi
dhikr,Arabic
dhimmi,French
dhindo,Nepali
dhobi,Hindi
dhol,Hindi
dholak,Hindi
dhole,Kannada
dhoni,Dhivehi
dhoop,Hindi
dhoti,Hindi
dhrupad,Hindi
dhuhr,Arabic
dhurrie,Hindi
dhyana,Sanskrit
di-,Latin
di-,Ancient Greek
di-,Ancient Greek
di-,Latin
diabase,French
diabetes insipidus,Latin
diablerie,French
diablo,Spanish
diablo,French
diabologue,French
diabolus,Latin
diaeresis,Late Latin
diallage,New Latin
dialysis,Latin
dialytika,Greek
diam,Min Nan
diam,Malay
diamantaire,French
diamante,French
diamantine,Middle French
diamanté,French
diamond,Dutch
dianium,New Latin
dianoia,Ancient Greek
diapason,Latin
diaphane,Middle French
diaphanie,French
diaphanous,Medieval Latin
diaphoresis,Late Latin
diaphoresis,Ancient Greek
diaskeuast,Ancient Greek
diaspora,Ancient Greek
diasporae,Ancient Greek
diasporai,Ancient Greek
diastasis,New Latin
diathesis,New Latin
diatribe,French
dibs,Arabic
dicacious,Latin
dicastery,Ancient Greek
dichasium,New Latin
dichotic,German
dichotomous,Late Latin
dickkopf,German
dictamen,Latin
dictate,Latin
dictation,Late Latin
dictator,Latin
dictatrix,Latin
dictature,French
diction,Latin
dictionnary,French
dictum,Latin
didascaly,Ancient Greek
didi,Hindi
didna,Scots
didukh,Ukrainian
dieb,Arabic
diener,German
diesel,German
differentiate,New Latin
diffident,Latin
diffix,French
diffract,Latin
diffusion,Latin
différance,French
digastric,New Latin
digestif,French
digital,Latin
digitate,Latin
digitus,Latin
diglossia,Latin
diglot,Ancient Greek
dihu,Mandarin
dijudicant,Latin
dikka,Arabic
dikkop,Afrikaans
diksha,Sanskrit
diktat,German
dilawan,Tagalog
dilemma,Late Latin
dilettante,Italian
diligence,French
dilly bag,Yagara
diluvium,Latin
dimidial,Latin
diminuendo,Italian
dinanderie,French
dinges,Dutch
dinghy,Bengali
dinghy,Sanskrit
dingo,Dharug
dingus,Dutch
dinheiro,Portuguese
dinuguan,Tagalog
dionaea,Translingual
diopside,French
diorama,French
diorite,French
diosgenin,German
diphtheria,French
diphy-,Ancient Greek
dipinto,Italian
diploma,Latin
diplomacy,French
diplomatics,Ecclesiastical Latin
diptych,Late Latin
dira,Arabic
diram,Tajik
dire,Latin
direct,Latin
directeur sportif,French
directive,French
director,Middle French
director,Late Latin
dirham,Arabic
dirhem,Turkish
dirigisme,French
dirigiste,French
dirk,Scots
dirndl,German
dis legomenon,Ancient Greek
dis-,Latin
disband,Middle French
disc,French
discalced,Ecclesiastical Latin
discept,Latin
disceptator,Latin
disci,Latin
disciplinary,Medieval Latin
disclose,Middle French
disclude,Latin
disco polo,Polish
discommodate,Latin
disconsolate,Medieval Latin
discotheque,French
discourse,Middle French
discrepancy,Latin
discrimen,Latin
discriminous,Latin
discursive,Middle French
disgregation,Latin
disgust,Middle French
dishdasha,Arabic
disinfectant,French
disinter,French
disjunctive,Latin
disorient,French
disparate,Middle French
dispart,Italian
dispart,Latin
dispatch,Italian
dispatch,Spanish
dispensatory,Latin
disperse,Middle French
displacement,French
disponible,French
dispose,French
dispositif,French
dispositio,Latin
disquaire,French
disquette,French
disquisition,French
disrupt,Latin
diss,Arabic
disselboom,Afrikaans
dissertation,Latin
dissidence,Latin
dissociation,French
dissolvent,Latin
distort,Latin
distortion,Latin
distract,Latin
distraction,Middle French
distrait,French
district,French
distriction,Latin
disyllabic,French
ditalini,Italian
dithyrambus,Latin
dithyrambus,Ancient Greek
ditsoon,Italian
ditto,Italian
diu lei,Cantonese
diurnal,Latin
div,Iranian Persian
diva,Italian
divan,Ottoman Turkish
divan,Persian
dive,Italian
divel,Latin
diversification,Medieval Latin
diversify,Middle French
diversion,French
divisi,Italian
divisio,Latin
diviso,Italian
divo,Italian
divorcee,French
divorcé,French
divorcée,French
divot,Scottish Gaelic
divulgate,Latin
diwata,Cebuano
dixie,Hindi
diya,Hindi
diyya,Arabic
dizain,French
dizi,Mandarin
djellaba,French
djembe,French
djoundi,Algerian Arabic
doab,Hindi
doab,Persian
dobla,Spanish
dobra,Portuguese
dochmiac,Ancient Greek
dochmius,Ancient Greek
dochmius,Latin
docile,Middle French
dock,Middle Low German
dock,Dutch
docosa-,Ancient Greek
doctorand,Medieval Latin
doctorandus,Dutch
doctrinaire,French
document,Middle French
documentation,German
dod,Irish
dod,Scots
dodo,Portuguese
dodoitsu,Japanese
dodrans,Latin
doek,Afrikaans
doenjang,Korean
dof,Afrikaans
dogaressa,Italian
doge,Italian
doge,Venetian
dogi,Japanese
dogma,Latin
dogmatic,French
dogoyaro,Hausa
doha,Hindi
dohyo,Japanese
dohyo matsuri,Japanese
dohyo-iri,Japanese
doi moi,Vietnamese
doikeyt,Yiddish
doina,Romanian
doit,Scots
doit,Middle Low German
dojang,Korean
dojikko,Japanese
dojo,Japanese
dojo,Japanese
dojocho,Japanese
dokha,Arabic
dolabra,Latin
dolama,Ottoman Turkish
dolce far niente,Italian
dolce vita,Italian
dolcelatte,Italian
dolcissimo,Italian
doleiro,Portuguese
dolente,Italian
dolerite,French
dolia,Russian
doline,German
dolium,Latin
dollar,Dutch
dolly,Hindi
dolma,Turkish
dolmadaki,Greek
dolmen,French
dolmus,Turkish
doloire,French
dolomite,French
dolorose,Latin
dolose,Latin
dolphin,Dutch
dolsot,Korean
dolus,Latin
dom,Portuguese
domaine,French
domanial,French
dombra,Russian
dome,Middle French
domestique,French
domiciliary,French
domina,Latin
dominant,Middle French
dominatrix,Latin
dominee,Dutch
dominee,Afrikaans
dominium,Latin
domino,French
dominus,Latin
domoic,Japanese
domovoy,Russian
dompt,French
domra,Russian
domus,Latin
donabe,Japanese
donatrix,Latin
donax,Latin
donburi,Japanese
doncella,Spanish
donde esta la biblioteca,Spanish
donek,Turkish
doner kebab,Turkish
dong,Korean
dong,Vietnamese
donga,Afrikaans
dongba,Mandarin
donna,Italian
donna angelica,Italian
donner,Afrikaans
donnée,French
donzel,Italian
donzella,Italian
doob grass,Hindi
doogh,Persian
dook,Dutch
dooly,Hindi
doos,Afrikaans
doosra,Hindi
dop,Dutch
dop,Dutch
dope,Dutch
doppelbock,German
doppelganger,German
doppio,Italian
doradito,Spanish
dorado,Spanish
dorama,Japanese
dorayaki,Japanese
dorf,Yiddish
dorf,German
dormitory,Latin
dorodango,Japanese
dorp,Dutch
dorsum,Latin
doru,Ancient Greek
dorveille,Middle French
dory,Ancient Greek
dosa,Kannada
dose,Middle French
dosha,Sanskrit
doshpuluur,Tuvan
dossard,French
dosser,Late Latin
dosseret,French
dossier,French
dossière,French
dot,French
dotaku,Japanese
dotara,Assamese
dotara,Bengali
douane,French
douanier,French
douar,French
doublet,Italian
doublure,French
doublé,French
douc,Muong
douceur,French
douche,French
dougong,Chinese
doujin,Japanese
doujin circle,Japanese
doujin event,Japanese
doujin game,Japanese
doujin music,Japanese
doujinshi,Japanese
doula,Greek
dour,Scots
doux,French
douzaine,French
doxa,Ancient Greek
doxology,Medieval Latin
doxy,Middle Dutch
doyen,French
doyenne,French
draadsitter,Afrikaans
drachma,Latin
drachme,French
draconcopedes,Medieval Latin
dracone,Latin
draconian,Latin
draconian,Latin
draconian,Ancient Greek
dracunculus,Latin
drageoir,French
dragonnade,French
dragonné,French
dragoon,French
dragée,French
draisienne,French
drama,Late Latin
dramatis personae,Latin
dramaturge,French
dramaturge,German
dramaturgy,French
draniki,Belarusian
drant,Scots
drant,Scottish Gaelic
drap,French
drap de Berry,French
dravya,Sanskrit
dreadlocks,Jamaican Creole
dreck,Yiddish
dredge,Scots
dredgeboat,Scots
dreep,Scots
dreg,Old Norse
dreibein,German
dreich,Scots
dreidel,Yiddish
dreikanter,German
drepanocytosis,Ancient Greek
dressage,French
drilling,German
drisheen,Irish
droguet,French
droil,Dutch
droit de seigneur,French
drollery,French
dronkgras,Afrikaans
dronte,French
droog,Russian
drooked,Scots
droshky,Russian
druid,French
drumlin,Irish
drungar,Ancient Greek
dryas,Ancient Greek
du jour,French
du'a',Arabic
dual,Latin
duang,Thai
duar,Arabic
duat,Egyptian
dubash,Hindi
dubb,Arabic
dubbeltje,Dutch
dubbeltjie,Afrikaans
dubber,Arabic
dubious,Latin
dubitate,Latin
dubok,Russian
dubonnet,French
dubu,Korean
ducat,Middle French
duck,Dutch
duct,Latin
duct,Medieval Latin
duction,Latin
ductor,Latin
ductule,New Latin
ductus,Latin
dudgeon,Italian
dudhi,Hindi
dudhwallah,Hindi
duduk,Armenian
dudukahar,Armenian
duello,Italian
duelo,Italian
duende,Portuguese
duende,Spanish
duenna,Old Spanish
duergar,Old Norse
duetto,Italian
dugong,Cebuano
duiker,Afrikaans
duka,Swahili
dukkah,Arabic
dukun,Malay
dulcamara,Latin
dulce de leche,Spanish
dulcian,German
dulcitude,Latin
dulcity,Latin
dullahan,Irish
dulzaina,Spanish
duma,Russian
dumbek,Turkish
dumka,Ukrainian
dummkopf,German
dummy out,Japanese
dun,Irish
dun,Scottish Gaelic
dun dun,Yoruba
dunam,Hebrew
dunam,Arabic
dune,Middle Dutch
dune,French
dune,Middle Low German
dungaree,Hindi
dungarees,Hindi
dungkhag,Dzongkha
dunk,Pennsylvania German
dunkel,German
dunnart,Nyunga
duo,Italian
duo,French
duodecimvir,Latin
duodji,Northern Sami
dupatta,Hindi
dupe,French
dupion,French
duplex,Latin
duplicarius,Latin
duplicate,Latin
duppy,Bube
dura,Arabic
dura mater,Medieval Latin
durak,Russian
duramen,Latin
durant,French
durative,French
durbar,Hindi
durbar,Urdu
durian,Malay
durood,Urdu
durum,Latin
durumagi,Korean
durwan,Hindi
durwan,Urdu
durzi,Hindi
durzi,Urdu
duvet,French
duwende,Tagalog
dux,Latin
dvandva,Sanskrit
dvigu,Sanskrit
dvornik,Russian
dwaal,Afrikaans
dwang,Dutch
dweomer,Middle English
dweomercraft,Middle English
dyad,Ancient Greek
